No.,phi,Ha,Ra,Nu
1,0.01,0,1000,6.18
2,0.01,0,10000,6.412
3,0.01,0,100000,8.348
4,0.01,0,1000000,11.716
5,0.01,20,1000,6.179
6,0.01,20,10000,6.205
7,0.01,20,100000,7.793
8,0.01,20,1000000,11.229
9,0.01,40,1000,6.179
10,0.01,40,10000,6.183
11,0.01,40,100000,6.937
12,0.01,40,1000000,10.521
13,0.01,60,1000,6.179
14,0.01,60,10000,6.18
15,0.01,60,100000,6.397
16,0.01,60,1000000,9.776
17,0.01,80,1000,6.179
18,0.01,80,10000,6.18
19,0.01,80,100000,6.242
20,0.01,80,1000000,9.045
21,0.01,100,1000,6.179
22,0.01,100,10000,6.179
23,0.01,100,100000,6.204
24,0.01,100,1000000,8.373
25,0.02,0,1000,6.353
26,0.02,0,10000,6.556
27,0.02,0,100000,8.511
28,0.02,0,1000000,11.917
29,0.02,20,1000,6.352
30,0.02,20,10000,6.374
31,0.02,20,100000,7.935
32,0.02,20,1000000,11.416
33,0.02,40,1000,6.352
34,0.02,40,10000,6.355
35,0.02,40,100000,7.057
36,0.02,40,1000000,10.683
37,0.02,60,1000,6.352
38,0.02,60,10000,6.353
39,0.02,60,100000,6.54
40,0.02,60,1000000,9.91
41,0.02,80,1000,6.352
42,0.02,80,10000,6.352
43,0.02,80,100000,6.406
44,0.02,80,1000000,9.157
45,0.02,100,1000,6.352
46,0.02,100,10000,6.352
47,0.02,100,100000,6.373
48,0.02,100,1000000,8.469
49,0.03,0,1000,6.528
50,0.03,0,10000,6.705
51,0.03,0,100000,8.676
52,0.03,0,1000000,12.12
53,0.03,20,1000,6.527
54,0.03,20,10000,6.547
55,0.03,20,100000,8.078
56,0.03,20,1000000,11.604
57,0.03,40,1000,6.527
58,0.03,40,10000,6.53
59,0.03,40,100000,7.18
60,0.03,40,1000000,10.845
61,0.03,60,1000,6.527
62,0.03,60,10000,6.529
63,0.03,60,100000,6.691
64,0.03,60,1000000,10.046
65,0.03,80,1000,6.527
66,0.03,80,10000,6.528
67,0.03,80,100000,6.575
68,0.03,80,1000000,9.27
69,0.03,100,1000,6.527
70,0.03,100,10000,6.528
71,0.03,100,100000,6.546
72,0.03,100,1000000,8.567
73,0.04,0,1000,6.707
74,0.04,0,10000,6.86
75,0.04,0,100000,8.841
76,0.04,0,1000000,12.325
77,0.04,20,1000,6.707
78,0.04,20,10000,6.724
79,0.04,20,100000,8.223
80,0.04,20,1000000,11.793
81,0.04,40,1000,6.706
82,0.04,40,10000,6.709
83,0.04,40,100000,7.306
84,0.04,40,1000000,11.008
85,0.04,60,1000,6.706
86,0.04,60,10000,6.708
87,0.04,60,100000,6.848
88,0.04,60,1000000,10.182
89,0.04,80,1000,6.706
90,0.04,80,10000,6.707
91,0.04,80,100000,6.748
92,0.04,80,1000000,9.383
93,0.04,100,1000,6.706
94,0.04,100,10000,6.707
95,0.04,100,100000,6.723
96,0.04,100,1000000,8.666
97,0.05,0,1000,6.89
98,0.05,0,10000,7.02
99,0.05,0,100000,9.01
100,0.05,0,1000000,12.531
101,0.05,20,1000,6.889
102,0.05,20,10000,6.904
103,0.05,20,100000,8.369
104,0.05,20,1000000,11.983
105,0.05,40,1000,6.889
106,0.05,40,10000,6.892
107,0.05,40,100000,7.437
108,0.05,40,1000000,11.172
109,0.05,60,1000,6.889
110,0.05,60,10000,6.89
111,0.05,60,100000,7.012
112,0.05,60,1000000,10.318
113,0.05,80,1000,6.889
114,0.05,80,10000,6.89
115,0.05,80,100000,6.926
116,0.05,80,1000000,9.497
117,0.05,100,1000,6.889
118,0.05,100,10000,6.89
119,0.05,100,100000,6.904
120,0.05,100,1000000,8.768
